,source,target,content
5262,usa_legionnaire,Mike_Pence,non tweet
5268,usa_legionnaire,WhiteHouse,non tweet
5273,drtochi,SkyNewsBreak,non tweet
5303,Shaynero191,SkyNews,non tweet
5317,drtochi,SkyNewsBreak,non tweet
5330,PfuusiA,IvankaTrump,non tweet
5517,teddabear2020,cnni,non tweet
5653,LouA3465,benshapiro,non tweet
5673,thuy1975,CNN,non tweet
5726,Jakirshbaum,aoc,non tweet
5742,leon57041562,DonaldJTrumpJr,non tweet
5753,BovaryCee,SkyNews,non tweet
5763,stuckinnyc,IngrahamAngle,non tweet
5818,RogersHuggins,DonaldJTrumpJr,non tweet
5833,drwill_SuttonPl,joebiden,non tweet
5863,Saveoceancounty,NBCTheVoice,non tweet
5865,Schraz8,JoeBiden,non tweet
5917,filip_rombouts,CNN,non tweet
5935,WeAreFlagged,IvankaTrump,non tweet
5959,Misty__Bella,DonaldJTrumpJr,non tweet
5965,Misty__Bella,seanhannity,non tweet
5966,Misty__Bella,TuckerCarlson,non tweet
5967,Misty__Bella,IngrahamAngle,non tweet
5982,RM88881470,CBSNews,non tweet
5989,JRoccosalvo,amazon,non tweet
5999,KevinODonoghue1,FoxNews,non tweet
6074,The_Happy_Tory,potus,non tweet
6080,ApologeticsPete,JoeBiden,non tweet
6127,AntifowlSales,TuckerCarlson,non tweet
6185,Martin04199251,CBSNews,non tweet
6191,ArmyAntointette,Twitter,non tweet
6194,love_JMJ_love,BarackObama,non tweet
6197,The1JasonAW,kanyewest,non tweet
6201,Matridge7,CBSNews,non tweet
6208,drtochi,SkyNewsBreak,non tweet
6225,drtochi,SkyNewsBreak,non tweet
6239,MaxLoopDJ,CBSNews,non tweet
6292,StarbuckIm,cnni,non tweet
6321,Hugh_Jassol2,KingJames,non tweet
6350,Lynda63986855,WhiteHouse,non tweet
6569,2019Sensibility,espn,non tweet
6574,KarenBE9,AOC,non tweet
6584,FromTheLand45,CBSNews,non tweet
6587,MadoBalkilo,amnestyusa,non tweet
6589,Trooth2A,HuffPost,non tweet
6614,negaleft,DonaldJTrumpJr,non tweet
6678,rangerrandy57,EricTrump,non tweet
6822,SergioBecerraI1,JoeBiden,non tweet
6834,Jamaica658,thehill,non tweet
