,source,target,content
3901,robbedfeelings,ManUtd,non tweet
3902,robbedfeelings,MarcusRashford,non tweet
3969,DaTechGuyblog,NFL,non tweet
3977,DaTechGuyblog,POTUS,non tweet
3982,blain321,BBCNews,non tweet
4000,GallowayGlen,POTUS,non tweet
4007,DaTechGuyblog,nfl,non tweet
4048,CambConservativ,WHO,non tweet
4049,CambConservativ,CDCgov,non tweet
4052,CambConservativ,JoeBiden,non tweet
4053,CambConservativ,jack,non tweet
4061,LadyMiscellany,BarackObama,non tweet
4085,wndrfl7,YouTube,non tweet
4090,DaisyGirlUSA,MichelleObama,non tweet
4098,tinaswope2014,TuckerCarlson,non tweet
4099,tinaswope2014,seanhannity,non tweet
4105,Joe7993,AOC,non tweet
4106,Joe7993,AOC,non tweet
4110,LiberalRepubPty,POTUS,non tweet
4145,GioJov,YouTube,non tweet
4147,AvatarAntifa,nytimes,non tweet
4175,Bly_me53,JoeBiden,non tweet
4183,B0SSB0Y,KamalaHarris,non tweet
4185,MothManRedEyes,POTUS,non tweet
4187,darreljorstad,ABC,non tweet
4197,TangleBritches,seanhannity,non tweet
4214,DCEJim,YouTube,non tweet
4265,luvUS16,JoeBiden,non tweet
4266,luvUS16,TuckerCarlson,non tweet
4272,HumakRidgewood,YouTube,non tweet
4281,MelvynWright3,seanhannity,non tweet
4301,MelvynWright3,seanhannity,non tweet
4310,PaddyQuotesgh,sarkodie,non tweet
4317,CarolCATX,ABC,non tweet
4319,DrZinFanDElle,POTUS,non tweet
4328,edbailey1957,CBSNews,non tweet
4354,rosequartzdiva,cnnbrk,non tweet
4366,America86845800,taylorswift13,non tweet
4392,Shazza1uk,SkyNews,non tweet
4393,Shazza1uk,BBCNews,non tweet
4395,Shazza1uk,piersmorgan,non tweet
4398,Coper710,cnnbrk,non tweet
4427,ginam47326442,CBSNews,non tweet
4454,America86845800,TMZ,non tweet
4489,ideadali,WSJ,non tweet
4499,B0SSB0Y,JoeBiden,non tweet
4538,dogmat007,POTUS,non tweet
4553,ArsonRenllaw,DonaldJTrumpJr,non tweet
4577,pdelis13,DwyaneWade,non tweet
4592,xXCat5Xx,TuckerCarlson,non tweet
4597,Ayaguasqa,KamalaHarris,non tweet
4598,Ayaguasqa,JoeBiden,non tweet
4623,twotermsmax,llcoolj,non tweet
4624,DivaPolitical,washingtonpost,non tweet
4625,MichelePauline3,YouTube,non tweet
4626,Meimeiguo1212,OfficialMonstaX,non tweet
4646,iffy2,YouTube,non tweet
4688,JimJeffery11,WSJ,non tweet
4706,TGrantW,danawhite,non tweet
4732,NateTreadaway,McDonalds,non tweet
4764,shalom_seeking,YouTube,non tweet
4777,GHA94867510,POTUS,non tweet
4791,delawaredave,ABC,non tweet
4807,usjonny,ABC,non tweet
4837,GHA94867510,CNNPolitics,non tweet
4914,Trace88529604,seanhannity,non tweet
4915,Trace88529604,FoxNews,non tweet
4946,DHPaeri,TMZ,non tweet
4947,DHPaeri,CNN,non tweet
4948,DHPaeri,KingJames,non tweet
4952,DHPaeri,BETMusic,non tweet
4953,DHPaeri,gucci1017,non tweet
5022,aprillsweeney,MichelleObama,non tweet
5024,aprillsweeney,BarackObama,non tweet
5055,Gbtusa11,WSJ,non tweet
5065,TwittaChicca,POTUS,non tweet
5066,TwittaChicca,billmaher,non tweet
5115,ImpactConsulti5,YouTube,non tweet
5149,ShariC1961,washingtonpost,non tweet
5173,2whltrvlr,POTUS,non tweet
5243,phantom044,YouTube,non tweet
5260,ava3366,YouTube,non tweet
5264,RubenRa00274314,seanhannity,non tweet
5286,micheleroberts0,nbcnews,non tweet
5287,DbigOrion,USATODAY,non tweet
5350,brushfiremind,SpeakerPelosi,non tweet
5390,thequ4nt,BarackObama,non tweet
5391,thequ4nt,Beyonce,non tweet
5393,thequ4nt,POTUS44,non tweet
5395,co45088266,seanhannity,non tweet
5396,co45088266,TuckerCarlson,non tweet
5398,RNRUtah,espn,non tweet
5404,myhouseof3,seanhannity,non tweet
5405,myhouseof3,FoxNews,non tweet
5437,ImperatriceV,FoxNews,non tweet
5442,MomForTrump72,TuckerCarlson,non tweet
5494,ShariC1961,FoxNews,non tweet
