,source,target,content
5554,AlbertH51591544,FoxNews,non tweet
5558,PedroHe43099620,kanyewest,non tweet
5601,BTSOT7ARMY1,BTS_twt,non tweet
5602,BTSOT7ARMY1,bts_twt,non tweet
5626,coramona,bts_bighit,non tweet
5627,coramona,BTS_twt,non tweet
5668,KIDGTHEARTIST,YouTube,non tweet
5681,SBeauty93,BTS_twt,non tweet
5686,tinabina70,MichelleObama,non tweet
5687,tinabina70,JoeBiden,non tweet
5696,tammyhileman,DonaldJTrumpJr,non tweet
5729,dpetrara,SpeakerPelosi,non tweet
5825,SueFritz13,nytimes,non tweet
5828,gnbangtan0903,BTS_twt,non tweet
5829,gnbangtan0903,BTS_twt,non tweet
5835,MsKRich5,nytimes,non tweet
5843,skivoodoo,POTUS,non tweet
5868,kaw1207,nickjonas,non tweet
5910,SteelManPgh,POTUS,non tweet
5994,Strawberry_1313,BTS_twt,non tweet
6004,batgirlsstuff,BarackObama,non tweet
6005,batgirlsstuff,JoeBiden,non tweet
6009,JickNonasNews,nickjonas,non tweet
6021,Jenna421x,MTV,non tweet
6034,Chyna87234705,nytimes,non tweet
6082,Taejoongijinko1,BTS_twt,non tweet
6086,bngtnpurpleseas,BTS_twt,non tweet
6095,NavyCaptRet63XX,YouTube,non tweet
6138,Gonza_NHK,instagram,non tweet
6159,RichardHilton1,BBCNews,non tweet
6160,RichardHilton1,SkyNews,non tweet
6173,marie9107,BTS_twt,non tweet
6216,Juana4ev,Diddy,non tweet
6218,jeoniies,BTS_twt,non tweet
6232,JesutoyeTestim1,WHO,non tweet
6236,LizS0629,BTS_twt,non tweet
6308,TheEchoes2017,DonaldJTrumpJr,non tweet
6316,readergirl1459,BarackObama,non tweet
6317,readergirl1459,Beyonce,non tweet
6318,readergirl1459,BTS_twt,non tweet
6339,ccasarico,YouTube,non tweet
6426,skivoodoo,VP,non tweet
6434,lineysworld,justinbieber,non tweet
6447,LostWhale7,BTS_twt,non tweet
6655,SGV_STARK,FoxNews,non tweet
6667,TomOreje,JoeBiden,non tweet
6669,JumpmanFire,nytimes,non tweet
6696,jjtmanu,KingJames,non tweet
6708,Info4U2Know,BarackObama,non tweet
6709,Info4U2Know,JoeBiden,non tweet
6715,charts_k,BTS_twt,non tweet
6742,ladyinred5,BBCWorld,non tweet
6744,ladyinred5,WHO,non tweet
6745,ladyinred5,UN,non tweet
6749,ladyinred5,SpeakerPelosi,non tweet
6818,dwilliams1210,SenSanders,non tweet
6824,CarnegieAaron,SpeakerPelosi,non tweet
