,source,target,content
6249,HuffZeroZero9,andersoncooper,non tweet
6250,HuffZeroZero9,CNN,non tweet
6252,CazArthur1,YouTube,non tweet
6358,ProWriter342,LilNasX,non tweet
6377,MimiTexasAngel,JoeBiden,non tweet
6398,browngirlvin,sonamakapoor,non tweet
6410,CazArthur1,CBSNews,non tweet
6435,packreads,nytimes,non tweet
6437,bobbybetke,SpeakerPelosi,non tweet
6445,atrobert_c,LewisHamilton,non tweet
6456,LaLaKristiansen,SnoopDogg,non tweet
6459,LaLaKristiansen,YouTube,non tweet
6465,dooleyp,Apple,non tweet
6480,Younique_ala_M,joebiden,non tweet
6497,Multijo1,washingtonpost,non tweet
6525,IsiTalksF1,LewisHamilton,non tweet
6625,PeepsPowertothe,BernieSanders,non tweet
6626,PeepsPowertothe,SenSanders,non tweet
6629,Productorcr,NetflixLAT,non tweet
6673,unibcarlson,ygofficialblink,non tweet
6679,2017_itstime,AP,non tweet
6726,TaylorStoermer,CNN,non tweet
6760,BisonOneSix,POTUS,non tweet
6822,cheekyblinder11,SkyNews,non tweet
6842,BKsCorner,VP,non tweet
6884,DJosephWeiss,JoeBiden,non tweet
6886,CazArthur1,YouTube,non tweet
6897,laurel_yanni,NFL,non tweet
6898,laurel_yanni,CNN,non tweet
6936,SassyTruth2,cnnbrk,non tweet
6938,BFEGreenwich,piersmorgan,non tweet
6957,UniversalSheph1,IvankaTrump,non tweet
6980,Satisfies69,cbsnews,non tweet
6989,kayinthecityy,JColeNC,non tweet
7031,MyTake48,SpeakerPelosi,non tweet
7032,MyTake48,nytimes,non tweet
7036,Kleesho,SkySportsPL,non tweet
7056,MissDeniCameron,POTUS,non tweet
7090,FormulaRapidaEN,LewisHamilton,non tweet
7093,TommytheKid1967,FoxNews,non tweet
7099,CazArthur1,CBSNews,non tweet
7126,CazArthur1,CNN,non tweet
7128,CazArthur1,JoeBiden,non tweet
7135,HumanRehab01,KamalaHarris,non tweet
7137,CazArthur1,JoeBiden,non tweet
7151,miz_ijs,50cent,non tweet
7154,TMBS_LostPatron,joerogan,non tweet
