,source,target,content
3026,thee_stupid,YouTube,non tweet
3076,AVALANCHE_RAP,MeekMill,non tweet
3106,JusticeofDeshon,cnn,non tweet
3127,healthybuttrfly,JoeBiden,non tweet
3217,WamboGolden,MeekMill,non tweet
3218,WamboGolden,Beyonce,non tweet
3295,CoffeeAfrique,BBCNews,non tweet
3526,elvia_francis,MTV,non tweet
3621,GriffKohout,YouTube,non tweet
3622,GriffKohout,aoc,non tweet
3638,YDSAFSU,gmail,non tweet
3651,RevAlvinHerring,Guardian,non tweet
3658,council_14,Twitter,non tweet
3666,council_14,Twitter,non tweet
3681,Soulracmusic,Spotify,non tweet
3729,Tom886,AOC,non tweet
3734,Tom886,SenSanders,non tweet
3735,Tom886,SpeakerPelosi,non tweet
3738,Tom886,MMFlint,non tweet
3746,jcpantherif1,KimKardashian,non tweet
3787,billrintels,maddow,non tweet
3908,EdRodAc12,AOC,non tweet
3953,KhloeCDavis1,JoeBiden,non tweet
3956,DjCowboy64,YouTube,non tweet
3957,Roxann_Minerals,nytimes,non tweet
4082,inglewoodmed,NBCNews,non tweet
4145,_neggata_,g1,non tweet
4157,TruthSeeker2107,BBCBreaking,non tweet
4200,TruthSeeker2107,CNN,non tweet
4202,TruthSeeker2107,Oprah,non tweet
4204,TruthSeeker2107,KingJames,non tweet
4206,GriffKohout,aoc,non tweet
4238,AVALANCHE_RAP,MeekMill,non tweet
4271,Chaybyday,POTUS,non tweet
4288,Tom886,AOC,non tweet
4293,Tom886,SenSanders,non tweet
4294,Tom886,SpeakerPelosi,non tweet
4297,Tom886,MMFlint,non tweet
4362,neonprawn,CNN,non tweet
4369,MaggottyBread,YouTube,non tweet
4388,questionselfs,SenSanders,non tweet
4514,GriffKohout,AOC,non tweet
4537,belltowerusa,CNN,non tweet
4542,GriffKohout,KingJames,non tweet
4544,GriffKohout,WhiteHouse,non tweet
4548,GriffKohout,aoc,non tweet
4629,AhrilMaizy,nytimes,non tweet
4659,Tom886,AOC,non tweet
4664,Tom886,SenSanders,non tweet
4665,Tom886,SpeakerPelosi,non tweet
4668,Tom886,MMFlint,non tweet
4823,Tom886,AOC,non tweet
4828,Tom886,SenSanders,non tweet
4829,Tom886,SpeakerPelosi,non tweet
4832,Tom886,MMFlint,non tweet
4849,tommygirl33,CNN,non tweet
4890,MissionaryBLMM,Pontifex,non tweet
4935,tryagain1motime,MeekMill,non tweet
4936,tryagain1motime,KimKardashian,non tweet
4938,tryagain1motime,johnlegend,non tweet
4958,seanpalacios888,BBCBreaking,non tweet
4963,seanpalacios888,ndtv,non tweet
4965,seanpalacios888,CBSNews,non tweet
4973,MissionaryBLMM,MLB,non tweet
5002,anjackson,voguemagazine,non tweet
5005,cwebbonline,CBSNews,non tweet
5108,MaggottyBread,YouTube,non tweet
5145,zmorris1986,POTUS44,non tweet
5146,zmorris1986,BarackObama,non tweet
5148,pshorty713,Diddy,non tweet
5170,Laural_Ayala,TMZ,non tweet
5236,AVALANCHE_RAP,MeekMill,non tweet
5301,SheilaTalks88,MichelleObama,non tweet
5340,BDCNewYork,MTV,non tweet
5341,BDCNewYork,MTV,non tweet
5374,DrMarioBurns1,stephenasmith,non tweet
5379,DrMarioBurns1,Oprah,non tweet
5393,TimAPeacock,FoxNews,non tweet
5394,HeadNERDSinCHRG,POTUS,non tweet
5404,questionselfs,AOC,non tweet
5428,MissionaryBLMM,BarackObama,non tweet
